name,profile_url,email,source_url
Alice Baker,https://www.law.columbia.edu/faculty/alice-baker,,https://www.law.columbia.edu/faculty/alice-baker
Todd Baker,https://www.law.columbia.edu/faculty/todd-baker,,https://www.law.columbia.edu/faculty/todd-baker
Shyamkrishna Balganesh,https://www.law.columbia.edu/faculty/shyamkrishna-balganesh,,https://www.law.columbia.edu/faculty/shyamkrishna-balganesh
Robert Balin,https://www.law.columbia.edu/faculty/robert-balin,,https://www.law.columbia.edu/faculty/robert-balin
Ejaz Baluch Jr,https://www.law.columbia.edu/faculty/ejaz-baluch-jr,,https://www.law.columbia.edu/faculty/ejaz-baluch-jr
Richard Barasch,https://www.law.columbia.edu/faculty/richard-barasch,,https://www.law.columbia.edu/faculty/richard-barasch
Mark Barenberg,https://www.law.columbia.edu/faculty/mark-barenberg,,https://www.law.columbia.edu/faculty/mark-barenberg
Katherine Barnes,https://www.law.columbia.edu/faculty/katherine-barnes,,https://www.law.columbia.edu/faculty/katherine-barnes
Rachel Barnett,https://www.law.columbia.edu/faculty/rachel-barnett,,https://www.law.columbia.edu/faculty/rachel-barnett
Norman Bartczak,https://www.law.columbia.edu/faculty/norman-bartczak,,https://www.law.columbia.edu/faculty/norman-bartczak
Paul Basta,https://www.law.columbia.edu/faculty/paul-basta,,https://www.law.columbia.edu/faculty/paul-basta
